Item: 25 Water Crystal, Price: 34, Quantity: 9999, Server: Omega, Twintania market price: 79, URL: https://universalis.app/market/13
Item: 25 Lightning Crystal, Price: 34, Quantity: 9823, Server: Moogle, Twintania market price: 59, URL: https://universalis.app/market/12
Item: 25 Earth Crystal, Price: 2, Quantity: 9, Server: Zodiark, Twintania market price: 16, URL: https://universalis.app/market/11
Item: 50 Lightning Cluster, Price: 81, Quantity: 9092, Server: Raiden, Twintania market price: 149, URL: https://universalis.app/market/18
Item: 1 Ice Shard, Price: 69, Quantity: 480, Server: Spriggan, Twintania market price: 70, URL: https://universalis.app/market/3
Item: 1 Wind Shard, Price: 53, Quantity: 300, Server: Cerberus, Twintania market price: 69, URL: https://universalis.app/market/4
Item: 50 Ice Cluster, Price: 3, Quantity: 9999, Server: Zodiark, Twintania market price: 6, URL: https://universalis.app/market/15
Item: 50 Wind Cluster, Price: 24, Quantity: 1999, Server: Phoenix, Twintania market price: 33, URL: https://universalis.app/market/16
Item: 50 Water Cluster, Price: 8, Quantity: 5743, Server: Omega, Twintania market price: 44, URL: https://universalis.app/market/19
Item: 22 Iron Shortsword, Price: 788, Quantity: 1, Server: Zodiark, Twintania market price: 1499, URL: https://universalis.app/market/1614
Item: 38 Vintage Bastard Sword, Price: 19833, Quantity: 1, Server: Cerberus, Twintania market price: 32025, URL: https://universalis.app/market/1635
Item: 26 Steel Broadsword, Price: 3360, Quantity: 1, Server: Cerberus, Twintania market price: 3899, URL: https://universalis.app/market/1625
Item: 40 Blunt Goblin Longsword, Price: 1523, Quantity: 1, Server: Shiva, Twintania market price: 2350, URL: https://universalis.app/market/1621
Item: 50 Earth Cluster, Price: 3, Quantity: 1625, Server: Odin, Twintania market price: 13, URL: https://universalis.app/market/17
Item: 10 Ash Macuahuitl, Price: 322, Quantity: 1, Server: Zodiark, Twintania market price: 350, URL: https://universalis.app/market/1604
Item: 24 Iron Spatha, Price: 158, Quantity: 1, Server: Moogle, Twintania market price: 1000, URL: https://universalis.app/market/1622
Item: 43 Cobalt Katzbalger, Price: 5250, Quantity: 1, Server: Spriggan, Twintania market price: 15500, URL: https://universalis.app/market/1657
Item: 38 Mythril Broadsword, Price: 15750, Quantity: 1, Server: Omega, Twintania market price: 27750, URL: https://universalis.app/market/1643
Item: 14 Hard Leather Himantes, Price: 48, Quantity: 1, Server: Spriggan, Twintania market price: 50, URL: https://universalis.app/market/1685
Item: 31 Steel Falchion, Price: 10499, Quantity: 1, Server: Spriggan, Twintania market price: 28000, URL: https://universalis.app/market/1633
Item: Twintania item, Price: 0, Quantity: 0, Server: Twintania, Twintania market price: 6999, URL: https://universalis.app/market/1680
Item: 10 Ramhorn Claws, Price: 9, Quantity: 1, Server: Raiden, Twintania market price: 500, URL: https://universalis.app/market/1683
Item: 40 Chipped Hora, Price: 76, Quantity: 1, Server: Louisoix, Twintania market price: 715, URL: https://universalis.app/market/1701
Item: 23 Spiked Knuckles, Price: 2624, Quantity: 1, Server: Cerberus, Twintania market price: 4950, URL: https://universalis.app/market/1694
Item: 12 Bronze Knuckles, Price: 4199, Quantity: 1, Server: Omega, Twintania market price: 4499, URL: https://universalis.app/market/1684
Item: 46 Peisteskin Cesti, Price: 1050, Quantity: 1, Server: Ragnarok, Twintania market price: 2000, URL: https://universalis.app/market/1728
Item: 70 Avengers, Price: 524, Quantity: 1, Server: Omega, Twintania market price: 1079, URL: https://universalis.app/market/1743
